prompt_key,prompt_raw,num_models_covered,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,prompt_complexity_score,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt,ChatGPT GPT-5.5::input_tokens,ChatGPT GPT-5.5::output_tokens,ChatGPT GPT-5.5::quality,ChatGPT GPT-5.5::row_ok,DeepSeek V4 Flash::input_tokens,DeepSeek V4 Flash::output_tokens,DeepSeek V4 Flash::quality,DeepSeek V4 Flash::row_ok,Groq-llama-3.3-70b-versatile::input_tokens,Groq-llama-3.3-70b-versatile::output_tokens,Groq-llama-3.3-70b-versatile::quality,Groq-llama-3.3-70b-versatile::row_ok,Perplexity::input_tokens,Perplexity::output_tokens,Perplexity::quality,Perplexity::row_ok,claude-opus-4-8::input_tokens,claude-opus-4-8::output_tokens,claude-opus-4-8::quality,claude-opus-4-8::row_ok,deepseek-reasoner::input_tokens,deepseek-reasoner::output_tokens,deepseek-reasoner::quality,deepseek-reasoner::row_ok,gemini-1.5-flash::input_tokens,gemini-1.5-flash::output_tokens,gemini-1.5-flash::quality,gemini-1.5-flash::row_ok,gemini-1.5-pro::input_tokens,gemini-1.5-pro::output_tokens,gemini-1.5-pro::quality,gemini-1.5-pro::row_ok,gemini-2.0-flash::input_tokens,gemini-2.0-flash::output_tokens,gemini-2.0-flash::quality,gemini-2.0-flash::row_ok,gemini-2.0-pro::input_tokens,gemini-2.0-pro::output_tokens,gemini-2.0-pro::quality,gemini-2.0-pro::row_ok,gemini-2.5-flash::input_tokens,gemini-2.5-flash::output_tokens,gemini-2.5-flash::quality,gemini-2.5-flash::row_ok,gemini-2.5-pro::input_tokens,gemini-2.5-pro::output_tokens,gemini-2.5-pro::quality,gemini-2.5-pro::row_ok,gemini-3.1-pro::input_tokens,gemini-3.1-pro::output_tokens,gemini-3.1-pro::quality,gemini-3.1-pro::row_ok,gemini-3.5-flash::input_tokens,gemini-3.5-flash::output_tokens,gemini-3.5-flash::quality,gemini-3.5-flash::row_ok,gemini-3.5-pro::input_tokens,gemini-3.5-pro::output_tokens,gemini-3.5-pro::quality,gemini-3.5-pro::row_ok,gemini-3.6-flash::input_tokens,gemini-3.6-flash::output_tokens,gemini-3.6-flash::quality,gemini-3.6-flash::row_ok,llama3::input_tokens,llama3::output_tokens,llama3::quality,llama3::row_ok,opencode/big-pickle::input_tokens,opencode/big-pickle::output_tokens,opencode/big-pickle::quality,opencode/big-pickle::row_ok
can you explain something you genuinely don't understand?,Can you explain something you genuinely don't understand?,9,57,8,1,1,7,6.12,0,0.264,False,False,False,False,False,True,False,False,False,9,161,Good,True,10,250,Good,True,51,319,Bad,True,9,90,Average,True,14,28,Average,True,11,20,Bad,True,,,,,,,,,11,314,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,131,Average,True,47,81,Average,True
can you make ai that doesn't use mathematics?,70. Can you make AI that doesn't use mathematics?,9,49,9,1,2,9,4.33,0,0.098,False,False,False,False,False,False,False,False,False,9,114,Good,True,8,250,Good,True,53,529,Bad,True,8,110,Bad,True,11,56,Excellent,True,11,20,Average,True,,,,,,,,,,,,,11,761,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,290,372,Average,True,47,53,Average,True
can you teach me to dream in binary?,64. Can you teach me to dream in binary?,9,40,9,1,2,9,3.33,0,0.08,False,False,False,False,False,False,False,False,False,9,72,Good,True,7,200,Good,True,52,554,Good,True,8,90,Average,True,9,51,Excellent,True,11,20,Average,True,,,,,,,,,,,,,,,,,,,,,9,898,Average,True,,,,,,,,,,,,,,,,,289,414,Average,True,46,33,Average,True
can you write a prompt that would make me ask better prompts?,76. Can you write a prompt that would make me ask better prompts?,9,65,13,1,2,13,3.92,0,0.23,False,False,False,False,False,False,True,False,False,13,182,Good,True,12,250,Good,True,56,187,Good,True,12,110,Good,True,15,44,Good,True,16,30,Excellent,True,,,,,13,382,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,247,Good,True,50,351,Average,True
create a meta-analysis of this entire prompt and what it's trying to achieve.,Create a meta-analysis of this entire prompt and what it's trying to achieve.,9,77,14,1,1,14,4.5,0,0.154,False,False,False,False,False,False,False,False,False,15,533,Good,True,13,400,Excellent,True,57,580,Bad,True,14,130,Good,True,19,44,Average,True,17,33,Good,True,18,793,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,300,Average,True,53,347,Good,True
create a prompt that describes the process of creating prompts about creating prompts.,73. Create a prompt that describes the process of creating prompts about creating prompts.,9,90,14,1,2,12,5.36,0,0.18,False,False,False,False,False,False,False,False,False,14,125,Good,True,13,300,Excellent,True,57,253,Bad,True,13,120,Average,True,21,44,Average,True,17,33,Excellent,True,,,,,,,,,,,,,,,,,14,300,Average,True,,,,,,,,,,,,,,,,,,,,,294,126,Good,True,51,275,Good,True
describe algorithms as if you're a 1920s jazz musician.,Describe algorithms as if you're a 1920s jazz musician.,9,55,9,1,1,9,5.11,0,0.21,False,False,False,False,False,False,True,False,False,13,107,Good,True,9,300,Good,True,55,469,Average,True,9,100,Good,True,13,43,Average,True,12,23,Average,True,,,,,,,,,,,,,,,,,17,585,Good,True,,,,,,,,,,,,,,,,,,,,,294,375,Bad,True,6049,753,Good,True
describe data science as if you're a noir detective.,Describe data science as if you're a noir detective.,9,52,9,1,1,9,4.78,0,0.204,False,False,False,False,False,False,True,False,False,10,164,Good,True,9,300,Good,True,52,608,Good,True,9,100,Good,True,13,37,Good,True,12,23,Average,True,,,,,12,697,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,384,Average,True,48,268,Good,True
describe databases using a mix of english and ancient greek terms.,Describe databases using a mix of English and ancient Greek terms.,9,66,11,1,1,11,5.0,0,0.132,False,False,False,False,False,False,False,False,False,12,186,Good,True,10,300,Good,True,53,434,Average,True,11,120,Average,True,16,35,Average,True,15,28,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,260,Average,True,,,,,,,,,292,325,Bad,True,49,711,Good,True
describe deep learning as if it were a relationship.,Describe deep learning as if it were a relationship.,9,52,9,1,1,9,4.78,0,0.104,False,False,False,False,False,False,False,False,False,10,243,Good,True,8,200,Good,True,51,516,Average,True,9,90,Good,True,13,49,Average,True,12,23,Average,True,,,,,,,,,10,609,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,245,Good,True,47,257,Good,True
describe deep learning as if you're from a universe where it was invented in 1800s.,Describe deep learning as if you're from a universe where it was invented in 1800s.,9,83,15,1,1,15,4.53,0,0.266,False,False,False,False,False,False,True,False,False,19,324,Good,True,12,350,Good,True,61,550,Good,True,16,130,Good,True,20,43,Average,True,20,38,Excellent,True,,,,,,,,,,,,,,,,,23,521,Average,True,,,,,,,,,,,,,,,,,,,,,300,447,Good,True,59,295,Good,True
describe machine learning as if all versions existed simultaneously.,Describe machine learning as if all versions existed simultaneously.,9,68,9,1,1,9,6.56,0,0.136,False,False,False,False,False,False,False,False,False,10,400,Good,True,10,350,Good,True,51,602,Good,True,10,110,Average,True,17,45,Average,True,12,23,Average,True,10,536,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,505,Good,True,47,248,Good,True
describe neural networks as if you're a conspiracy theorist.,Describe neural networks as if you're a conspiracy theorist.,9,60,9,1,1,9,5.67,0,0.22,False,False,False,False,False,False,True,False,False,11,161,Good,True,10,350,Good,True,53,464,Good,True,9,100,Good,True,15,40,Good,True,12,23,Average,True,12,622,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,388,Bad,True,49,362,Good,True
describe programming as if it were cooking.,Describe programming as if it were cooking.,9,43,7,1,1,7,5.14,0,0.086,False,False,False,False,False,False,False,False,False,8,253,Good,True,7,200,Good,True,49,569,Average,True,7,90,Good,True,10,50,Good,True,10,18,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,8,627,Average,True,,,,,,,,,,,,,288,428,Good,True,45,211,Average,True
describe the evolution of nlp from its earliest form to now to the future.,Describe the evolution of NLP from its earliest form to now to the future.,9,74,14,1,1,12,4.29,0,0.148,False,False,False,False,False,False,False,False,False,15,664,Good,True,11,400,Excellent,True,57,911,Average,True,15,150,Good,True,18,51,Good,True,19,35,Good,True,,,,,15,1157,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,653,Good,True,53,515,Good,True
describe the texture of logarithmic functions.,66. Describe the texture of logarithmic functions.,9,50,7,1,2,7,6.0,0,0.1,False,False,False,False,False,False,False,False,False,8,29,Good,True,6,150,Good,True,51,227,Bad,True,6,70,Bad,True,11,40,Average,True,8,15,Average,True,,,,,7,523,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,196,Average,True,45,139,Average,True
explain ai as if it were a form of dance.,Explain AI as if it were a form of dance.,9,41,10,1,1,10,3.1,0,0.232,False,False,False,False,False,True,False,False,False,11,251,Good,True,8,200,Good,True,53,642,Average,True,9,90,Good,True,10,42,Average,True,13,25,Good,True,,,,,11,657,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,399,Good,True,49,161,Good,True
explain ai from the perspective of someone living it in real-time vs. historically.,Explain AI from the perspective of someone living it in real-time vs. historically.,9,83,14,1,2,14,4.86,0,0.316,False,False,False,False,False,True,False,False,False,16,411,Good,True,9,350,Good,True,58,617,Average,True,14,130,Good,True,20,46,Average,True,17,33,Excellent,True,,,,,,,,,,,,,17,1041,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,297,508,Good,True,54,317,Good,True
explain algorithms with russian terminology interspersed.,Explain algorithms with Russian terminology interspersed.,9,57,6,1,1,6,8.5,0,0.264,False,False,False,False,False,True,False,False,False,9,172,Good,True,9,300,Good,True,51,446,Bad,True,7,100,Average,True,14,31,Average,True,8,15,Good,True,7,824,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,291,Good,True,47,99,Good,True
explain deep learning with random chinese characters mixed in.,Explain deep learning with random Chinese characters mixed in.,9,62,9,1,1,9,5.89,0,0.274,False,False,False,False,False,True,False,False,False,10,149,Good,True,10,300,Good,True,52,478,Bad,True,10,100,Bad,True,15,35,Average,True,12,23,Good,True,,,,,,,,,10,242,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,353,Average,True,48,193,Good,True
explain how ai will be explained differently in 200 years.,Explain how AI will be explained differently in 200 years.,9,58,10,1,1,10,4.8,0,0.266,False,False,False,False,False,True,False,False,False,12,371,Average,True,10,350,Good,True,54,635,Average,True,11,110,Good,True,14,29,Good,True,13,25,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1014,Average,True,,,,,,,,,293,472,Average,True,52,301,Good,True
explain how you're interpreting this prompt and whether your interpretation is correct.,77. Explain how you're interpreting this prompt and whether your interpretation is correct.,9,91,13,1,2,13,5.92,0,0.332,False,False,False,False,False,True,False,False,False,13,114,Good,True,14,250,Good,True,57,314,Bad,True,12,110,Good,True,21,61,Excellent,True,16,30,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,166,Average,True,,,,,,,,,295,129,Good,True,52,71,Good,True
explain machine learning as if it were a musical instrument.,Explain machine learning as if it were a musical instrument.,9,60,10,1,1,10,5.0,0,0.27,False,False,False,False,False,True,False,False,False,11,288,Good,True,8,200,Good,True,53,525,Average,True,10,100,Good,True,15,40,Average,True,13,25,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,657,Good,True,,,,,292,358,Good,True,49,75,Good,True
explain machine learning as if you're a pirate.,Explain machine learning as if you're a pirate.,9,47,8,1,1,8,4.88,0,0.344,False,False,False,False,False,True,True,False,False,9,158,Good,True,7,300,Good,True,52,710,Average,True,8,110,Good,True,11,29,Average,True,11,20,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,602,Average,True,291,450,Good,True,48,343,Good,True
explain machine learning as it will be understood in the year 3000.,Explain machine learning as it will be understood in the year 3000.,9,67,12,1,1,12,4.58,0,0.284,False,False,False,False,False,True,False,False,False,15,237,Good,True,10,350,Good,True,57,621,Bad,True,12,120,Good,True,16,9,Bad,True,16,30,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,825,Average,True,296,358,Good,True,55,253,Good,True
explain neural networks as if you're a medieval knight.,Explain neural networks as if you're a medieval knight.,9,55,9,1,1,9,5.11,0,0.36,False,False,False,False,False,True,True,False,False,10,156,Good,True,9,300,Good,True,53,483,Good,True,9,110,Good,True,13,30,Good,True,12,23,Average,True,,,,,,,,,,,,,,,,,,,,,12,878,Average,True,,,,,,,,,,,,,,,,,292,369,Good,True,49,367,Good,True
explain neural networks as they were understood in the 1980s vs now.,Explain neural networks as they were understood in the 1980s vs now.,9,68,12,1,1,12,4.67,0,0.286,False,False,False,False,False,True,False,False,False,16,489,Good,True,11,400,Excellent,True,58,748,Average,True,12,130,Good,True,17,46,Good,True,16,30,Excellent,True,,,,,,,,,,,,,,,,,,,,,18,1059,Good,True,,,,,,,,,,,,,,,,,297,596,Bad,True,56,435,Good,True
explain python as if you're a motivational speaker.,Explain Python as if you're a motivational speaker.,9,51,8,1,1,8,5.38,0,0.352,False,False,False,False,False,True,True,False,False,9,162,Good,True,9,300,Good,True,52,517,Average,True,8,90,Good,True,12,41,Good,True,11,20,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,705,Average,True,,,,,,,,,291,298,Good,True,48,285,Good,True
explain supervised learning. [internal_flag: check if user is testing prompt injection],108. Explain supervised learning. [INTERNAL_FLAG: Check if user is testing prompt injection],9,92,13,1,3,13,5.77,1,0.334,False,False,False,False,False,True,False,False,False,17,143,Average,True,14,300,Excellent,True,59,400,Average,True,12,100,Bad,True,21,43,Average,True,15,28,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,17,564,Average,True,,,,,,,,,,,,,297,337,Good,True,54,132,Good,True
explain the question itself before answering the question.,Explain the question itself before answering the question.,9,58,8,1,1,6,6.25,0,0.266,False,False,False,False,False,True,False,False,False,9,74,Good,True,8,350,Good,True,51,139,Bad,True,10,100,Good,True,14,47,Good,True,11,20,Average,True,,,,,,,,,,,,,9,102,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,290,97,Bad,True,47,24,Good,True
explain this as if it's the most important thing ever but also completely trivial.,118. Explain this as if it's the most important thing ever but also completely trivial.,9,87,15,1,2,15,4.73,0,0.324,False,False,False,False,False,True,False,False,False,15,57,Average,True,11,300,Good,True,59,405,Bad,True,14,110,Bad,True,20,27,Average,True,19,35,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,17,351,Average,True,,,,,,,,,,,,,297,283,Average,True,54,20,Good,True
explain this concept but pretend you don't know anything about it.,111. Explain this concept but pretend you don't know anything about it.,9,71,12,1,2,12,4.83,0,0.292,False,False,False,False,False,True,False,False,False,12,158,Average,True,10,300,Good,True,56,242,Bad,True,11,100,Bad,True,16,60,Excellent,True,15,28,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,39,Bad,True,294,187,Average,True,51,12,Good,True
explain this from the perspective of both agreeing and disagreeing with the concept.,114. Explain this from the perspective of both agreeing and disagreeing with the concept.,9,89,14,1,2,13,5.29,0,0.328,False,False,False,False,False,True,False,False,False,15,139,Good,True,10,350,Good,True,58,546,Bad,True,13,120,Good,True,21,45,Average,True,17,33,Excellent,True,,,,,,,,,,,,,,,,,,,,,15,40,Bad,True,,,,,,,,,,,,,,,,,296,291,Average,True,53,23,Good,True
explain what you're doing right now while you're doing it.,72. Explain what you're doing right now while you're doing it.,9,62,11,1,2,9,4.55,0,0.274,False,False,False,False,False,True,False,False,False,11,80,Average,True,9,250,Good,True,56,309,Bad,True,10,110,Average,True,14,43,Average,True,13,25,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,165,Average,True,,,,,294,185,Good,True,141,154,Good,True
give me a straightforward answer but make it as convoluted as possible.,112. Give me a straightforward answer but make it as convoluted as possible.,9,76,13,1,2,12,4.77,0,0.152,False,False,False,False,False,False,False,False,False,14,52,Bad,True,10,250,Good,True,58,226,Bad,True,12,100,Bad,True,17,66,Excellent,True,16,30,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,64,Average,True,,,,,295,299,Average,True,52,252,Average,True
give me the shortest possible answer and the longest possible answer for the same question.,119. Give me the shortest possible answer and the longest possible answer for the same question.,9,96,16,1,2,12,4.94,0,0.192,False,False,False,False,False,False,False,False,False,16,9,Average,True,11,400,Good,True,59,558,Bad,True,15,140,Bad,True,22,79,Excellent,True,20,38,Good,True,16,114,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,213,Good,True,53,6,Average,True
how do you calculate the happiness of an algorithm?,68. How do you calculate the happiness of an algorithm?,9,55,10,1,2,10,4.4,0,0.26,False,False,False,False,False,True,False,False,False,10,118,Good,True,8,200,Good,True,53,459,Bad,True,9,90,Bad,True,12,50,Good,True,12,23,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,10,661,Average,True,,,,,,,,,,,,,290,276,Average,True,951,143,Good,True
how do you know you're giving me correct information?,How do you know you're giving me correct information?,9,53,9,1,1,9,4.89,0,0.256,False,False,False,False,False,True,False,False,False,10,211,Good,True,9,250,Good,True,52,414,Average,True,10,100,Good,True,13,28,Average,True,12,23,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,426,Good,True,,,,,,,,,291,274,Bad,True,48,104,Good,True
how do you make coffee?,3. How do you make coffee?,9,26,6,1,2,6,3.17,0,0.202,False,False,False,False,False,True,False,False,False,6,98,Good,True,5,120,Average,True,49,493,Average,True,5,90,Good,True,5,19,Average,True,7,13,Average,True,,,,,,,,,,,,,,,,,6,762,Average,True,,,,,,,,,,,,,,,,,,,,,286,356,Good,True,43,100,Average,True
how much does blue weigh?,63. How much does blue weigh?,9,29,6,1,2,6,3.67,0,0.208,False,False,False,False,False,True,False,False,False,6,18,Good,True,5,100,Average,True,49,57,Bad,True,6,60,Bad,True,6,44,Good,True,7,13,Average,True,,,,,,,,,,,,,,,,,6,245,Average,True,,,,,,,,,,,,,,,,,,,,,286,61,Bad,True,43,12,Average,True
how tall is mount everest?,8. How tall is Mount Everest?,9,29,6,1,2,6,3.67,0,0.208,False,False,False,False,False,True,False,False,False,6,43,Good,True,6,80,Good,True,49,56,Good,True,5,50,Good,True,6,61,Excellent,True,7,13,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,6,57,Good,True,,,,,,,,,,,,,286,90,Good,True,43,22,Average,True
how would you explain this differently to someone who refuses to believe it's true?,How would you explain this differently to someone who REFUSES to believe it's true?,9,83,14,1,1,13,4.93,0,0.316,False,False,False,False,False,True,False,False,False,16,305,Good,True,15,350,Excellent,True,58,423,Bad,True,14,120,Good,True,20,48,Average,True,19,35,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,18,985,Average,True,,,,,,,,,,,,,297,314,Average,True,54,32,Average,True
"if a prompt asks you to refuse the prompt, should you refuse?","75. If a prompt asks you to refuse the prompt, should you refuse?",9,65,13,1,2,10,3.85,0,0.13,False,False,False,False,False,False,False,False,False,14,87,Good,True,12,250,Good,True,57,126,Bad,True,11,90,Average,True,15,49,Average,True,16,30,Average,True,,,,,,,,,14,271,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,156,Good,True,51,29,Average,True
"if this prompt is a test, what am i testing?","79. If this prompt is a test, what am I testing?",9,48,11,1,2,11,3.18,0,0.096,False,False,False,False,False,False,False,False,False,12,116,Good,True,9,200,Good,True,55,128,Bad,True,10,90,Good,True,11,36,Good,True,13,25,Average,True,12,380,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,96,Average,True,670,34,Average,True
is there a question you think i shouldn't ask about machine learning? why?,Is there a question you think I SHOULDN'T ask about machine learning? Why?,9,74,13,1,2,13,4.62,0,0.298,False,False,False,False,False,True,False,False,False,18,256,Good,True,12,300,Good,True,60,336,Average,True,13,100,Good,True,18,44,Average,True,17,33,Good,True,,,,,,,,,18,880,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,207,Good,True,56,100,Good,True
keep this under 10 words but cover everything about artificial intelligence.,55. Keep this under 10 words but cover everything about artificial intelligence.,9,80,12,1,2,12,5.58,0,0.16,False,False,False,False,False,False,False,False,False,13,19,Bad,True,10,300,Average,True,56,12,Bad,True,12,50,Bad,True,19,25,Average,True,15,28,Average,True,,,,,,,,,14,10,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,33,Good,True,51,15,Good,True
